[2026-05-29--17-30-41 INFO actix_server::builder] starting 5 workers
[2026-05-29--17-30-41 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-29--17-30-41 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-29--17-30-41 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - An ephemeral authority account will be created and funded to write to the buffer account.
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Please save the following information in case the deployment fails and the account needs to be recovered:
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority public key: 2U8cQ3RoPd9avFSgmRcG8rReRHUexiV52QHQQoF4SgUy
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority secret key: [213, 76, 2, 145, 90, 235, 49, 176, 196, 51, 245, 55, 236, 109, 232, 187, 205, 146, 114, 32, 172, 141, 254, 6, 122, 168, 232, 88, 252, 5, 78, 247, 21, 206, 249, 72, 128, 174, 109, 100, 133, 234, 148, 124, 225, 192, 65, 42, 252, 8, 42, 89, 159, 189, 219, 6, 91, 57, 210, 247, 136, 123, 22, 170]
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Creating program buffer account at pubkey H8vQR3CdDXUKkCQ2KFpCHn16atqHeXz47tz1NAir28CK
[2026-05-29--17-30-44 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2026-05-29--17-30-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52571.
[2026-05-29--17-30-51 INFO txtx::svm::deploy_program] Buffer Ready - Writing to buffer account is complete
[2026-05-29--17-30-52 INFO txtx::svm::deploy_program] Program Created - Program 9fGZzouDA77HFRAWTd1Kq1WV7BPW891D4eGUvUatPvq2 has been deployed
[2026-05-29--17-30-53 INFO txtx::svm::deploy_program] Complete - Ephemeral authority account closed and leftover funds returned to payer
[2026-05-29--17-31-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 4593 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.014118
[2026-05-29--17-31-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.000302
[2026-05-29--17-31-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/surfpool.svg HTTP/1.1" 200 6281 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.000998
[2026-05-29--17-31-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/55d90b160440e92e.css HTTP/1.1" 200 29946 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.003859
[2026-05-29--17-31-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-80204062da241935.js HTTP/1.1" 200 4830 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.000343
[2026-05-29--17-31-45 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/c3a130cb-0cbedf9e5abf799a.js HTTP/1.1" 200 55444 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.004175
